gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACSS2,3461.879265,-0.213680045,0.144937095,-1.474295074,0.140402161,0.575666201
ACSS3,8.792332235,-1.875109613,0.784138276,-2.391299686,0.016788843,NA
ACTA2,32.21867513,-0.037064398,0.485163687,-0.076395655,0.939104326,NA
ACTB,311172.7639,0.269124368,0.229247113,1.173948778,0.240415543,0.679046127
ACTG1,37857.17236,-0.205783442,0.116059552,-1.773084918,0.076214637,0.487876755
ACTG2,43.61929057,-0.054475224,0.354072802,-0.153853174,0.877725506,NA
ACTL6A,244.8873796,0.461345804,0.268341783,1.719246994,0.085569407,0.507331999
ACTN1,1955.0894,-0.04930431,0.141364309,-0.348774809,0.727258377,0.925764188
ACTN2,2.510801153,0.186264904,0.911498227,0.204350264,0.838079793,NA
ACTN3,1.989197851,0.640904481,1.091019577,0.587436279,0.556910734,NA
ACTN4,710.7706285,-0.222180661,0.203322585,-1.09274954,0.274503782,0.704852672
ACTR10,467.6121141,0.382101695,0.238636642,1.601186184,0.109335688,0.540504836
ACTR1A,1330.201704,-0.181288276,0.102668062,-1.765770897,0.077434293,0.489479666
ACTR1B,533.4604249,0.112643896,0.20847904,0.54031281,0.588981326,0.882992213
ACTR2,2095.545319,1.055443474,0.22414533,4.708746222,2.49245157633906e-06,0.007092777
ACTR3,7369.642524,0.357927934,0.204089754,1.753777086,0.079468711,0.494160689
ACTR3B,5.238823889,0.393099262,0.597965673,0.657394361,0.510927377,NA
ACTR5,171.7812432,-0.051327913,0.221959377,-0.231249132,0.817121262,0.953828193
ACTR6,39.6834787,0.296756928,0.321256637,0.92373789,0.3556228,NA
ACTR8,144.4094106,0.279430481,0.246114928,1.135365835,0.256222068,0.690523447
ACTRT2,1.971770774,-0.691130134,2.057371014,-0.33592878,0.736924574,NA
ACTRT3,2.463138811,0.200301884,0.730590718,0.274164288,0.783958371,NA
ACVR1,12.77096755,0.68821826,0.393055265,1.750945276,0.079955337,NA
ACVR1B,1663.023327,0.052172392,0.376722824,0.138490129,0.889853071,0.970554859
ACVR1C,18.08260149,1.296018643,0.558089603,2.322241153,0.020219954,NA
ACVR2A,287.502852,-0.067073352,0.177618973,-0.377624926,0.705709245,0.919165748
ACVR2B,2.112062529,-1.995396533,0.895352906,-2.228614572,0.025839561,NA
ACVRL1,355.0255479,-0.550795141,0.222826125,-2.471860698,0.013441188,0.306478071
